Date,Token,stakingRewards,cumStakingRewards,APR,forcastTokenStaked
2022-10-13 00:00:00,EVMOS,0.4698225911416398,0.4698225911416398,180.5107850175774,91401567.77
2022-10-14 00:00:00,EVMOS,0.4665965894383265,0.9364191805799663,179.27132120525178,92033508.97999999
2022-10-15 00:00:00,EVMOS,0.4634145878108919,1.3998337683908582,178.04876268523745,92665450.19
2022-10-16 00:00:00,EVMOS,0.4602756921680619,1.8601094605589201,176.84276593825538,93297391.39999999
2022-10-17 00:00:00,EVMOS,0.45717903247976227,2.3172884930386823,175.6529966895929,93929332.61
2022-10-18 00:00:00,EVMOS,0.45412376197312937,2.771412255011812,174.47912960020233,94561273.82
2022-10-19 00:00:00,EVMOS,0.4511090563605433,3.222521311372355,173.32084797010347,95193215.03
2022-10-20 00:00:00,EVMOS,0.4481341130982078,3.6706554244705627,172.17784345352194,95825156.24
2022-10-21 00:00:00,EVMOS,0.4451981506738734,4.1158535751444365,171.04981578522506,96457097.44999999
2022-10-22 00:00:00,EVMOS,0.4423004079223786,4.558153983066815,169.93647251754547,97089038.66
2022-10-23 00:00:00,EVMOS,0.4394401433677478,4.997594126434564,168.83752876760838,97720979.86999999
2022-10-24 00:00:00,EVMOS,0.43661663459065186,5.4342107610252155,167.7527069743031,98352921.08
2022-10-25 00:00:00,EVMOS,0.4338291776201005,5.868039938645316,166.68173666456494,98984862.28999999
2022-10-26 00:00:00,EVMOS,0.4310770863482845,6.2991170249936,165.62435422855143,99616803.5
2022-10-27 00:00:00,EVMOS,0.42835969196755436,6.727476716961155,164.58030270332353,100248744.71
2022-10-28 00:00:00,EVMOS,0.4256763424285566,7.1531530593897115,163.54933156465597,100880685.91999999
2022-10-29 00:00:00,EVMOS,0.42302640191861207,7.576179461308324,162.53119652662465,101512627.13
2022-10-30 00:00:00,EVMOS,0.42040925035945564,7.99658871166778,161.52565934863296,102144568.34
2022-10-31 00:00:00,EVMOS,0.4178242829235057,8.414412994591286,160.53248764955745,102776509.55
2022-11-01 00:00:00,EVMOS,0.41527090956787094,8.829683904159157,159.5514547287083,103408450.75999999
2022-11-02 00:00:00,EVMOS,0.41274855458533877,9.242432458744496,158.58233939331438,104040391.97
2022-11-03 00:00:00,EVMOS,0.4102566561716303,9.652689114916125,157.62492579225798,104672333.17999999
2022-11-04 00:00:00,EVMOS,0.407794666008235,10.06048378092436,156.67900325579558,105304274.39
2022-11-05 00:00:00,EVMOS,0.40536204886017835,10.465845829784538,155.74436614101592,105936215.6
2022-11-06 00:00:00,EVMOS,0.40295828218809915,10.868804111972636,154.820813682796,106568156.81
2022-11-07 00:00:00,EVMOS,0.4005828557740491,11.269386967746685,153.90814985002942,107200098.02
2022-11-08 00:00:00,EVMOS,0.3982352713604486,11.667622239107134,153.0061832069092,107832039.22999999
2022-11-09 00:00:00,EVMOS,0.39591504230166524,12.063537281408799,152.11472677906085,108463980.44
2022-11-10 00:00:00,EVMOS,0.39362169322770085,12.4571589746365,151.23359792432717,109095921.64999999
2022-11-11 00:00:00,EVMOS,0.39135475971950034,12.848513734355999,150.36261820801857,109727862.86
2022-11-12 00:00:00,EVMOS,0.3891137879954156,13.237627522351413,149.50161328244917,110359804.07
2022-11-13 00:00:00,EVMOS,0.38689833460838063,13.624525856959794,148.65041277058836,110991745.28
2022-11-14 00:00:00,EVMOS,0.38470796615337255,14.009233823113167,147.8088501536642,111623686.49
2022-11-15 00:00:00,EVMOS,0.3825422589847546,14.391776082097921,146.9767626625636,112255627.69999999
2022-11-16 00:00:00,EVMOS,0.3804007989431118,14.772176881041034,146.15399117287978,112887568.91
2022-11-17 00:00:00,EVMOS,0.3782831810912117,15.150460062132245,145.34038010346555,113519510.11999999
2022-11-18 00:00:00,EVMOS,0.37618900945873407,15.52664907159098,144.5357773183557,114151451.33
2022-11-19 00:00:00,EVMOS,0.37411789679543467,15.900766968386414,143.74003403193018,114783392.53999999
2022-11-20 00:00:00,EVMOS,0.37206946433241667,16.27283643271883,142.95300471719167,115415333.75
2022-11-21 00:00:00,EVMOS,0.3700433415512025,16.642879774270032,142.174547017041,116047274.96
2022-11-22 00:00:00,EVMOS,0.3680391659603107,17.010918940230344,141.40452165843516,116679216.16999999
2022-11-23 00:00:00,EVMOS,0.3660565828790529,17.376975523109397,140.64279236932032,117311157.38
2022-11-24 00:00:00,EVMOS,0.3640952452282828,17.74107076833768,139.88922579823497,117943098.59
2022-11-25 00:00:00,EVMOS,0.36215481332783483,18.103225581665512,139.14369143648395,118575039.8
2022-11-26 00:00:00,EVMOS,0.36023495470040673,18.46346053636592,138.40606154278785,119206981.00999999
2022-11-27 00:00:00,EVMOS,0.3583353438816465,18.821795880247564,137.6762110703168,119838922.22
2022-11-28 00:00:00,EVMOS,0.35645566223621766,19.178251542483782,136.9540175960205,120470863.42999999
2022-11-29 00:00:00,EVMOS,0.3545955977796221,19.532847140263403,136.2393612521706,121102804.63999999
2022-11-30 00:00:00,EVMOS,0.3527548450055732,19.885601985268977,135.532124660036,121734745.85
2022-12-01 00:00:00,EVMOS,0.3509331047187181,20.236535089987694,134.83219286561274,122366687.06
2022-12-02 00:00:00,EVMOS,0.34913008387251654,20.58566517386021,134.13945327733532,122998628.27
2022-12-03 00:00:00,EVMOS,0.3473454954120914,20.933010669272303,133.4537956056983,123630569.47999999
2022-12-04 00:00:00,EVMOS,0.3455790581218747,21.278589727394177,132.7751118047203,124262510.69
2022-12-05 00:00:00,EVMOS,0.3438304964778791,21.622420223872055,132.10329601518512,124894451.89999999
